x_pos	y_pos	psi	fspeed	blank	ws	ori
0	0	3.1415927	53	0	0	0
-53	0	3.1415927	53	0	0	0
-106	0	3.1415927	53	0	0	0
-159	0	3.1415927	53	0	0	0
-212	0	3.1415927	53	0	0	0
-265	0	3.1415927	53	0	0	0
-318	0	3.1415927	53	0	0	0
-371	0	3.1415927	53	0	0	0
-424	0	3.1415927	53	0	0	0
-477	0	3.1415927	53	0	0	0
-530	0	3.1415927	53	0	0	0
-583	0	3.1415927	53	0	0	0
-636	0	3.1415927	53	0	0	0
-689	0	3.1415927	53	0	0	0
-742	0	3.1415927	53	0	0	0
-795	0	3.1415927	53	0	0	0
-848	0	3.1415927	53	0	0	0
-901	0	3.1415927	53	0	0	0
-954	0	3.1415927	53	0	0	0
-1007	0	3.1415927	53	0	0	2
-1060	0	3.1415927	53	0	0	3.5
-1113	0	3.1415927	53	0	0	5
-1166	0	3.1415927	53	0	0	6.5
-1219	0	3.1415927	53	0	0	8
-1272	0	3.1415927	53	0	0	9.5
-1325	0	3.1415927	53	0	0	11
-1378	0	3.1415927	53	0	0	12.5
-1431	0	3.1415927	53	0	0	14
-1484	0	3.1415927	53	0	0	15.5
-1537	0	3.1415927	53	0	0	17
-1590	0	3.1415927	53	0	0	18.5
-1643	0	3.1415927	53	0	0	20
-1696	0	3.1415927	53	0	0	21.5
-1749	0	3.1415927	53	0	0	23
-1802	0	3.1415927	53	0	0	24.5
-1855	0	3.1415927	53	0	0	26
-1908	0	3.1415927	53	0	0	27.5
-1961	0	3.1415927	53	0	0	29
-2014	0	3.1415927	53	0	0	30.5
-2067	0	3.1415927	53	0	0	32
-2120	0	3.1415927	53	0	0	33.5
-2173	0	3.1415927	53	0	0	35
-2226	0	3.1415927	53	0	0	36.5
-2279	0	3.1415927	53	0	0	38
-2332	0	3.1415927	53	0	0	39.5
-2385	0	3.1415927	53	0	0	41
-2438	0	3.1415927	53	0	0	42.5
-2491	0	3.1415927	53	0	0	44
-2544	0	3.1415927	53	0	0	45
-2597	0	3.1415927	53	0	0	45
-2650	0	3.1415927	53	0	0	45
-2703	0	3.1415927	53	0	0	45
-2756	0	3.1415927	53	0	0	45
-2809	0	3.1415927	53	0	0	45
-2862	0	3.1415927	53	0	0	45
-2915	0	3.1415927	53	0	0	45
-2968	0	3.1415927	53	0	0	45
-3000	0	3.1415927	53	0	-0.106	45
-3052.9008	2.8063708	3.0355927	53	0	-0.106	48
-3105.2078	11.19398	2.9295927	53	0	-0.106	51
-3156.3337	25.068674	2.8235927	53	0	-0.106	54
-3205.7048	44.274701	2.7175927	53	0	-0.106	57
-3252.7667	68.596465	2.6115927	53	0	-0.106	60
-3296.9911	97.760942	2.5055927	53	0	-0.106	63
-3337.8817	131.44075	2.3995927	53	0	-0.106	66
-3374.9795	169.25781	2.2935927	53	0	-0.106	69
-3407.8679	210.78761	2.1875927	53	0	-0.106	72
-3436.1777	255.56396	2.0815927	53	0	-0.106	75
-3459.5913	303.08422	1.9755927	53	0	-0.106	78
-3477.8458	352.81496	1.8695927	53	0	-0.106	81
-3490.7361	404.19792	1.7635927	53	0	-0.106	84
-3498.1178	456.65631	1.6575927	53	0	-0.106	87
-3500	500	1.5707963	53	0	0	90
-3500	553	1.5707963	53	0	0	90
-3500	606	1.5707963	53	0	0	90
-3500	659	1.5707963	53	0	0	90
-3500	712	1.5707963	53	0	0	90
-3500	765	1.5707963	53	0	0	90
-3500	818	1.5707963	53	0	0	90
-3500	871	1.5707963	53	0	0	90
-3500	924	1.5707963	53	0	0	90
-3500	977	1.5707963	53	0	0	90
-3500	1030	1.5707963	53	0	0	90
-3500	1083	1.5707963	53	0	0	90
-3500	1136	1.5707963	53	0	0	90
-3500	1189	1.5707963	53	0	0	90
-3500	1242	1.5707963	53	0	0	90
-3500	1295	1.5707963	53	0	0	90
-3500	1348	1.5707963	53	0	0	90
-3500	1401	1.5707963	53	0	0	90
-3500	1454	1.5707963	53	0	0	90
-3500	1500	1.5707963	53	0	0	90
-3500	1553	1.5707963	53	0	0	90
-3500	1606	1.5707963	53	0	0	90
-3500	1659	1.5707963	53	0	0	90
-3500	1712	1.5707963	53	0	0	90
-3500	1765	1.5707963	53	0	0	90
-3500	1818	1.5707963	53	0	0	90
-3500	1871	1.5707963	53	0	0	90
-3500	1924	1.5707963	53	0	0	90
-3500	1977	1.5707963	53	0	0	90
-3500	2030	1.5707963	53	0	0	90
-3500	2083	1.5707963	53	0	0	90
-3500	2136	1.5707963	53	0	0	90
-3500	2189	1.5707963	53	0	0	90
-3500	2242	1.5707963	53	0	0	90
-3500	2295	1.5707963	53	0	0	90
-3500	2348	1.5707963	53	0	0	90
-3500	2401	1.5707963	53	0	0	90
-3500	2454	1.5707963	53	0	0	90
-3500	2507	1.5707963	53	0	0	90
-3500	2560	1.5707963	53	0	0	90
-3500	2613	1.5707963	53	0	0	90
-3500	2666	1.5707963	53	0	0	90
-3500	2719	1.5707963	53	0	0	90
-3500	2772	1.5707963	53	0	0	90
-3500	2825	1.5707963	53	0	0	90
-3500	2878	1.5707963	53	0	0	90
-3500	2931	1.5707963	53	0	0	90
-3500	2984	1.5707963	53	0	0	90
-3500	3037	1.5707963	53	0	0	90
-3500	3090	1.5707963	53	0	0	90
-3500	3143	1.5707963	53	0	0	90
-3500	3196	1.5707963	53	0	0	90
-3500	3249	1.5707963	53	0	0	90
-3500	3302	1.5707963	53	0	0	90
-3500	3355	1.5707963	53	0	0	90
-3500	3408	1.5707963	53	0	0	90
-3500	3461	1.5707963	53	0	0	90
-3500	3514	1.5707963	53	0	0	90
-3500	3567	1.5707963	53	0	0	90
-3500	3620	1.5707963	53	0	0	90
-3500	3673	1.5707963	53	0	0	90
-3500	3726	1.5707963	53	0	0	90
-3500	3779	1.5707963	53	0	0	90
-3500	3832	1.5707963	53	0	0	90
-3500	3885	1.5707963	53	0	0	90
-3500	3938	1.5707963	53	0	0	90
-3500	3991	1.5707963	53	0	0	90
-3500	4044	1.5707963	53	0	0	90
-3500	4097	1.5707963	53	0	0	90
-3500	4150	1.5707963	53	0	0	90
-3500	4203	1.5707963	53	0	0	90
-3500	4256	1.5707963	53	0	0	90
-3500	4309	1.5707963	53	0	0	90
-3500	4362	1.5707963	53	0	0	90
-3500	4415	1.5707963	53	0	0	90
-3500	4468	1.5707963	53	0	0	90
-3500	4521	1.5707963	53	0	0	90
-3500	4574	1.5707963	53	0	0	90
-3500	4627	1.5707963	53	0	0	90
-3500	4680	1.5707963	53	0	0	90
-3500	4733	1.5707963	53	0	0	90
-3500	4786	1.5707963	53	0	0	90
-3500	4839	1.5707963	53	0	0	90
-3500	4892	1.5707963	53	0	0	90
-3500	4945	1.5707963	53	0	0	90
-3500	4998	1.5707963	53	0	0	90
-3500	5051	1.5707963	53	0	0	90
-3500	5104	1.5707963	53	0	0	90
-3500	5157	1.5707963	53	0	0	90
-3500	5210	1.5707963	53	0	0	90
-3500	5263	1.5707963	53	0	0	90
-3500	5316	1.5707963	53	0	0	90
-3500	5369	1.5707963	53	0	0	90
-3500	5422	1.5707963	53	0	0	90
-3500	5475	1.5707963	53	0	0	90
-3500	5500	1.5707963	53	0	-0.14133333	90
-3496.2609	5552.8237	1.429463	53	0	-0.14133333	81.90226605
-3485.1182	5604.5941	1.2881297	53	0	-0.14133333	73.80445762
-3466.794	5654.2786	1.1467963	53	0	-0.14133333	65.70664345
-3441.6538	5700.8865	1.005463	53	0	-0.14133333	57.60883502
-3410.1989	5743.4884	0.86412966	53	0	-0.14133333	49.51102429
-3373.0566	5781.2346	0.72279633	53	0	-0.14133333	41.41321414
-3330.9677	5813.3725	0.58146299	53	0	-0.14133333	33.31540341
-3284.7713	5839.2612	0.44012966	53	0	-0.14133333	25.21759326
-3235.3888	5858.3843	0.29879633	53	0	-0.14133333	17.1197831
-3183.8049	5870.3606	0.15746299	53	0	-0.14133333	9.021972377
-3131.0484	5874.9512	0.01612966	53	0	-0.14133333	0.924162224
-3078.1712	5872.0646	-0.12520367	53	0	-0.14133333	-7.17364793
-3026.2279	5861.7583	-0.26653701	53	0	-0.14133333	-15.27145866
-2976.2543	5844.2379	-0.40787034	53	0	-0.14133333	-23.36926881
-2929.2469	5819.8527	-0.54920367	53	0	-0.14133333	-31.46707896
-2886.1433	5789.089	-0.69053701	53	0	-0.14133333	-39.56488969
-2847.8029	5752.5604	-0.83187034	53	0	-0.14133333	-47.66269984
-2814.9903	5710.9952	-0.97320367	53	0	-0.14133333	-55.76051
-2788.3599	5665.2224	-1.114537	53	0	-0.14133333	-63.85832015
-2768.4428	5616.1548	-1.2558703	53	0	-0.14133333	-71.95612858
-2755.636	5564.7708	-1.3972037	53	0	-0.14133333	-80.05394275
-2750.1951	5512.0951	-1.538537	53	0	-0.14133333	-88.15175118
-2750	5500	-1.5707963	53	0	0	-90.00007448
-2750	5447	-1.5707963	53	0	0	-90
-2750	5394	-1.5707963	53	0	0	-90
-2750	5341	-1.5707963	53	0	0	-90
-2750	5288	-1.5707963	53	0	0	-90
-2750	5235	-1.5707963	53	0	0	-90
-2750	5182	-1.5707963	53	0	0	-90
-2750	5129	-1.5707963	53	0	0	-90
-2750	5076	-1.5707963	53	0	0	-90
-2750	5023	-1.5707963	53	0	0	-90
-2750	4970	-1.5707963	53	0	0	-90
-2750	4917	-1.5707963	53	0	0	-90
-2750	4864	-1.5707963	53	0	0	-90
-2750	4811	-1.5707963	53	0	0	-90
-2750	4758	-1.5707963	53	0	0	-90
-2750	4705	-1.5707963	53	0	0	-90
-2750	4652	-1.5707963	53	0	0	-90
-2750	4599	-1.5707963	53	0	0	-90
-2750	4546	-1.5707963	53	0	0	-90
-2750	4493	-1.5707963	53	0	0	-90
-2750	4440	-1.5707963	53	0	0	-90
-2750	4387	-1.5707963	53	0	0	-90
-2750	4334	-1.5707963	53	0	0	-90
-2750	4281	-1.5707963	53	0	0	-90
-2750	4228	-1.5707963	53	0	0	-90
-2750	4175	-1.5707963	53	0	0	-90
-2750	4122	-1.5707963	53	0	0	-90
-2750	4069	-1.5707963	53	0	0	-90
-2750	4016	-1.5707963	53	0	0	-90
-2750	3963	-1.5707963	53	0	0	-90
-2750	3910	-1.5707963	53	0	0	-90
-2750	3857	-1.5707963	53	0	0	-90
-2750	3804	-1.5707963	53	0	0	-90
-2750	3751	-1.5707963	53	0	0	-90
-2750	3698	-1.5707963	53	0	0	-90
-2750	3645	-1.5707963	53	0	0	-90
-2750	3592	-1.5707963	53	0	0	-90
-2750	3539	-1.5707963	53	0	0	-90
-2750	3486	-1.5707963	53	0	0	-90
-2750	3433	-1.5707963	53	0	0	-90
-2750	3380	-1.5707963	53	0	0	-90
-2750	3327	-1.5707963	53	0	0	-90
-2750	3274	-1.5707963	53	0	0	-90
-2750	3221	-1.5707963	53	0	0	-90
-2750	3168	-1.5707963	53	0	0	-90
-2750	3115	-1.5707963	53	0	0	-90
-2750	3062	-1.5707963	53	0	0	-90
-2750	3009	-1.5707963	53	0	0	-90
-2750	2956	-1.5707963	53	0	0	-90
-2750	2903	-1.5707963	53	0	0	-90
-2750	2850	-1.5707963	53	0	0	-90
-2750	2797	-1.5707963	53	0	0	-90
-2750	2744	-1.5707963	53	0	0	-90
-2750	2691	-1.5707963	53	0	0	-90
-2750	2638	-1.5707963	53	0	0	-90
-2750	2585	-1.5707963	53	0	0	-90
-2750	2532	-1.5707963	53	0	0	-90
-2750	2479	-1.5707963	53	0	0	-90
-2750	2426	-1.5707963	53	0	0	-90
-2750	2373	-1.5707963	53	0	0	-90
-2750	2320	-1.5707963	53	0	0	-90
-2750	2267	-1.5707963	53	0	0	-90
-2750	2214	-1.5707963	53	0	0	-90
-2750	2161	-1.5707963	53	0	0	-90
-2750	2108	-1.5707963	53	0	0	-90
-2750	2055	-1.5707963	53	0	0	-90
-2750	2002	-1.5707963	53	0	0	-90
-2750	1949	-1.5707963	53	0	0	-90
-2750	1896	-1.5707963	53	0	0	-90
-2750	1843	-1.5707963	53	0	0	-90
-2750	1790	-1.5707963	53	0	0	-90
-2750	1737	-1.5707963	53	0	0	-90
-2750	1684	-1.5707963	53	0	0	-90
-2750	1631	-1.5707963	53	0	0	-90
-2750	1578	-1.5707963	53	0	0	-90
-2750	1525	-1.5707963	53	0	0	-90
-2750	1472	-1.5707963	53	0	0	-90
-2750	1419	-1.5707963	53	0	0	-90
-2750	1366	-1.5707963	53	0	0	-90
-2750	1313	-1.5707963	53	0	0	-90
-2750	1260	-1.5707963	53	0	0	-90
-2750	1207	-1.5707963	53	0	0	-90
-2750	1154	-1.5707963	53	0	0	-90
-2750	1101	-1.5707963	53	0	0	-90
-2750	1100	-1.5707963	53	0	0.53	-90
-2736.2807	1049.4467	-1.0407963	53	0	0.53	-59.63328569
-2698.8872	1012.7645	-0.51079633	53	0	0.53	-29.26649862
-2650	1000	0	53	0	0	0
-2597	1000	0	53	0	0	0
-2544	1000	0	53	0	0	0
-2491	1000	0	53	0	0	0
-2438	1000	0	53	0	0	0
-2385	1000	0	53	0	0	0
-2332	1000	0	53	0	0	0
-2279	1000	0	53	0	0	0
-2226	1000	0	53	0	0	0
-2173	1000	0	53	0	0	0
-2120	1000	0	53	0	0	0
-2067	1000	0	53	0	0	0
-2014	1000	0	53	0	0	0
-1961	1000	0	53	0	0	0
-1908	1000	0	53	0	0	0
-1855	1000	0	53	0	0	0
-1802	1000	0	53	0	0	0
-1749	1000	0	53	0	0	0
-1696	1000	0	53	0	0	0
-1643	1000	0	53	0	0	0
-1590	1000	0	53	0	0	0
-1537	1000	0	53	0	0	0
-1484	1000	0	53	0	0	0
-1431	1000	0	53	0	0	0
-1378	1000	0	53	0	0	0
-1325	1000	0	53	0	0	0
-1272	1000	0	53	0	0	0
-1219	1000	0	53	0	0	0
-1166	1000	0	53	0	0	0
-1113	1000	0	53	0	0	0
-1060	1000	0	53	0	0	0
-1007	1000	0	53	0	0	0
-954	1000	0	53	0	0	0
-901	1000	0	53	0	0	0
-848	1000	0	53	0	0	0
-795	1000	0	53	0	0	0
-742	1000	0	53	0	0	0
-689	1000	0	53	0	0	0
-636	1000	0	53	0	0	0
-583	1000	0	53	0	0	0
