t	xPos	yPos	phi	sDot	blank	w
-3265	-3265	865.9320531	0	55.05402939	0	0.019540403
-3300	-3300	908.5278119	0	55.18753649	0	0.019587789
-3335	-3335	951.2173333	0	55.19774435	0	0.019591412
-3370	-3370	993.8364552	0	55.07756346	0	0.019548756
-3440	-3440	1078.160687	0	54.42044384	0	0.019315524
-3475	-3475	1119.49083	0	53.87256686	0	0.019121065
-3510	-3510	1160.00032	0	53.17286285	0	0.018872718
-3545	-3545	1199.477399	0	52.31883581	0	0.018569597
-3580	-3580	1237.700309	0	51.30987681	0	0.018211486
-3615	-3615	1274.437135	0	50.14786989	0	0.017799053
-3650	-3650	1309.445648	0	48.83801717	0	0.017334146
-3685	-3685	1342.473144	0	47.38996742	0	0.016820187
-3720	-3720	1373.256284	0	45.81936275	0	0.01626273
-3755	-3755	1401.520936	0	44.14995011	0	0.015670203
-3790	-3790	1426.982016	0	42.41642653	0	0.015054921
-3825	-3825	1449.343326	0	40.66816069	0	0.014434407
-3860	-3860	1468.2974	0	38.97377368	0	0.013833016
-3895	-3895	1483.52534	0	37.42610264	0	0.013283699
-3930	-3930	1494.696658	0	36.14608394	0	0.01282938
-3965	-3965	1501.469119	0	35.28251409	0	0.012522872
-3965	-3965	1501.469119	0	35.28251409	0	0.012522872
