t	POSX	POSY	PHIS	SDOT	blank	w	ori
0	0	0	3.1415926	30	0	0	0
-20	-20	0	3.1415926	30	0	0	0
-50	-50	0	3.1415926	30	0	0	0
-80	-80	0	3.1415926	30	0	0	0
-110	-110	0	3.1415926	30	0	0	0
-140	-140	0	3.1415926	30	0	0	0
-170	-170	0	3.1415926	30	0	0	0
-200	-200	0	3.1415926	30	0	0	0
-230	-230	0	3.1415926	30	0	0	0
-260	-260	0	3.1415926	30	0	0	0
-290	-290	0	3.1415926	30	0	0	0
-320	-320	0	3.1415926	30	0	0	0
-350	-350	0	3.1415926	30	0	0	0
-380	-380	0	3.1415926	30	0	0	0
-410	-410	0	3.1415926	30	0	0	0
-440	-440	0	3.1415926	30	0	0	0
-470	-470	0	3.1415926	30	0	0	0
-500	-500	0	3.1415926	30	0	0	0
-530	-530	0	3.1415926	30	0	0	0
-560	-560	0	3.1415926	30	0	0	0
-590	-590	0	3.1415926	30	0	0	0
-620	-620	0	3.1415926	30	0	0	0
-650	-650	0	3.1415926	30	0	0	0
-680	-680	0	3.1415926	30	0	0	0
-710	-710	0	3.1415926	30	0	0	0
-740	-740	0	3.1415926	30	0	0	0
-770	-770	0	3.1415926	30	0	0	0
-800	-800	0	3.1415926	30	0	0	0
-830	-830	0	3.1415926	30	0	0	0
-860	-860	0	3.1415926	30	0	0	0
-890	-890	0	3.1415926	30	0	0	0
-920	-920	0	3.1415926	30	0	0	0
-950	-950	0	3.1415926	30	0	0	0
-980	-980	0	3.1415926	30	0	0	0
-1010	-1010	0	3.1415926	30	0	0	1
-1040	-1040	0	3.1415926	30	0	0	2.1
-1070	-1070	0	3.1415926	30	0	0	3.2
-1100	-1100	0	3.1415926	30	0	0	4.3
-1130	-1130	0	3.1415926	30	0	0	5.4
-1160	-1160	0	3.1415926	30	0	0	6.5
-1190	-1190	0	3.1415926	30	0	0	7.6
-1220	-1220	0	3.1415926	30	0	0	8.7
-1250	-1250	0	3.1415926	30	0	0	9.8
-1280	-1280	0	3.1415926	30	0	0	10.9
-1310	-1310	0	3.1415926	30	0	0	12
-1340	-1340	0	3.1415926	30	0	0	13.1
-1400	-1400	0	3.1415926	30	0	0	14.2
-1430	-1430	0	3.1415926	30	0	0	15.3
-1460	-1460	0	3.1415926	30	0	0	16.4
-1490	-1490	0	3.1415926	30	0	0	17.5
-1520	-1520	0	3.1415926	30	0	0	18.6
-1550	-1550	0	3.1415926	30	0	0	19.7
-1580	-1580	0	3.1415926	30	0	0	20.8
-1610	-1610	0	3.1415926	30	0	0	21.9
-1640	-1640	0	3.1415926	30	0	0	23
-1670	-1670	0	3.1415926	30	0	0	24.1
-1700	-1700	0	3.1415926	30	0	0	25.2
-1730	-1730	0	3.1415926	30	0	0	26.3
-1760	-1760	0	3.1415926	30	0	0	27.4
-1790	-1790	0	3.1415926	30	0	0	28.5
-1820	-1820	0	3.1415926	30	0	0	29.6
-1850	-1850	0	3.1415926	30	0	0	30.7
-1880	-1880	0	3.1415926	30	0	0	31.8
-1910	-1910	0	3.1415926	30	0	0	32.9
-1940	-1940	0	3.1415926	30	0	0	34
-1970	-1970	0	3.1415926	30	0	0	35.1
-2000	-2000	0	3.1415926	30	0	0	36.2
-2030	-2030	0	3.1415926	30	0	0	37.3
-2060	-2060	0	3.1415926	30	0	0	38.4
-2090	-2090	0	3.1415926	30	0	0	39.5
-2120	-2120	0	3.1415926	30	0	0	40.6
-2150	-2150	0	3.1415926	30	0	0	41.7
-2180	-2180	0	3.1415926	30	0	0	42.8
-2210	-2210	0	3.1415926	30	0	0	43.9
-2240	-2240	0	3.1415926	30	0	0	45
-2270	-2270	0	3.1415926	30	0	0	45
-2300	-2300	0	3.1415926	30	0	0	45
-2330	-2330	0	3.1415926	30	0	0	45
-2360	-2360	0	3.1415926	30	0	0	45
-2390	-2390	0	3.1415926	30	0	0	45
-2420	-2420	0	3.1415926	30	0	0	45
-2450	-2450	0	3.1415926	30	0	0	45
-2480	-2480	0	3.1415926	30	0	0	45
-2510	-2510	0	3.1415926	30	0	0	45
-2540	-2540	0	3.1415926	30	0	0	45
-2570	-2570	0	3.1415926	30	0	0	45
-2600	-2600	0	3.1415926	30	0	0	45
-2630	-2630	0	3.1415926	30	0	0	45
-2660	-2660	0	3.1415926	30	0	0	45
-2690	-2690	0	3.1415926	30	0	0	45
-2720	-2720	0	3.1415926	30	0	0	45
-2750	-2750	0	3.1415926	30	0	0	45
-2780	-2780	0	3.1415926	30	0	0	45
-2810	-2810	0	3.1415926	30	0	0	45
-2840	-2840	0	3.1415926	30	0	0	45
-2870	-2870	0	3.1415926	30	0	0	45
-2900	-2900	0	3.1415926	30	0	0	45
-2930	-2930	0	3.1415926	30	0	0	45
-2960	-2960	0	3.1415926	30	0	0	45
-2990	-2990	0	3.1415926	30	0	0	45
3.141593	-3000	0	3.141593	30	0	0	45
3.2	-3029.98	0.9	3.08	30	0	0	46.8
3.26	-3059.86	3.6	3.02	30	0	0	48.3
3.32	-3089.51	8.08	2.96	30	0	0	50
3.38	-3118.85	14.33	2.9	30	0	0	51.65
3.44	-3147.76	22.33	2.84	30	0	0	53.3
3.5	-3176.14	32.05	2.78	30	0	0	54.95
3.56	-3203.88	43.46	2.72	30	0	0	56.6
3.62	-3230.89	56.5	2.66	30	0	0	58.25
3.68	-3257.07	71.15	2.6	30	0	0	59.9
3.74	-3282.32	87.33	2.54	30	0	0	61.55
3.8	-3306.56	105	2.48	30	0	0	63.2
3.86	-3329.69	124.1	2.42	30	0	0	64.85
3.92	-3351.64	144.54	2.36	30	0	0	66.5
3.98	-3372.32	166.27	2.3	30	0	0	68.15
4.04	-3391.66	189.2	2.24	30	0	0	69.8
4.1	-3409.6	213.24	2.18	30	0	0	71.45
4.16	-3426.05	238.32	2.12	30	0	0	73.1
4.22	-3440.98	264.34	2.06	30	0	0	74.75
4.28	-3454.32	291.2	2	30	0	0	76.4
4.34	-3466.02	318.82	1.94	30	0	0	78.05
4.4	-3476.05	347.09	1.88	30	0	0	79.7
4.46	-3484.36	375.91	1.82	30	0	0	81.35
4.52	-3490.93	405.18	1.76	30	0	0	83
4.58	-3495.73	434.79	1.7	30	0	0	84.65
4.64	-3498.75	464.63	1.64	30	0	0	86.3
4.7	-3499.97	494.6	1.58	30	0	0	87.95
4.71	-3500	500	1.57	30	0	0	89.6
500	-3500	500	1.57	30	0	0	90
530	-3500	530	1.57	30	0	0	90
560	-3500	560	1.57	30	0	0	90
590	-3500	590	1.57	30	0	0	90
620	-3500	620	1.57	30	0	0	90
650	-3500	650	1.57	30	0	0	90
680	-3500	680	1.57	30	0	0	90
710	-3500	710	1.57	30	0	0	90
740	-3500	740	1.57	30	0	0	90
770	-3500	770	1.57	30	0	0	90
800	-3500	800	1.57	30	0	0	90
830	-3500	830	1.57	30	0	0	90
860	-3500	860	1.57	30	0	0	90
890	-3500	890	1.57	30	0	0	90
920	-3500	920	1.57	30	0	0	90
950	-3500	950	1.57	30	0	0	90
980	-3500	980	1.57	30	0	0	90
1010	-3500	1010	1.57	30	0	0	90
1040	-3500	1040	1.57	30	0	0	90
1070	-3500	1070	1.57	30	0	0	90
1100	-3500	1100	1.57	30	0	0	90
1130	-3500	1130	1.57	30	0	0	90
1160	-3500	1160	1.57	30	0	0	90
1190	-3500	1190	1.57	30	0	0	90
1220	-3500	1220	1.57	30	0	0	90
1250	-3500	1250	1.57	30	0	0	90
1280	-3500	1280	1.57	30	0	0	90
1310	-3500	1310	1.57	30	0	0	90
1340	-3500	1340	1.57	30	0	0	90
1370	-3500	1370	1.57	30	0	0	90
1400	-3500	1400	1.57	30	0	0	90
1430	-3500	1430	1.57	30	0	0	90
1460	-3500	1460	1.57	30	0	0	90
1490	-3500	1490	1.57	30	0	0	90
1500	-3500	1500	1.57	30	0	0	90
