t	xPos	yPos	phi	sDot	blank	w
1060	208.2332623	1060	0	10.23251688	0	0.011790398
1070	210.4660348	1070	0	10.2607979	0	0.012926703
1080	212.834953	1080	0	10.29369688	0	0.014092389
1090	215.3532436	1090	0	10.33185248	0	0.015282731
1100	218.0347231	1100	0	10.375976	0	0.016492078
1110	220.8938087	1110	0	10.42685495	0	0.017713787
1120	223.9455293	1120	0	10.48535585	0	0.01894018
1130	227.2055361	1130	0	10.55242612	0	0.020162521
1140	230.6901136	1140	0	10.62909489	0	0.021371043
1150	234.4161908	1150	0	10.71647248	0	0.022555012
1160	238.4013516	1160	0	10.81574841	0	0.023702855
1170	242.6638457	1170	0	10.92818773	0	0.024802348
1180	247.2225999	1180	0	11.05512573	0	0.025840868
1190	252.0972285	1190	0	11.1979607	0	0.026805704
1200	257.3080446	1200	0	11.35814518	0	0.027684431
1210	262.8760705	1210	0	11.53717556	0	0.028465319
1220	268.823049	1220	0	11.73658036	0	0.029137751
1230	275.171454	1230	0	11.95790766	0	0.02969265
1240	281.9445017	1240	0	12.20271195	0	0.030122853
1250	289.1661608	1250	0	12.47254095	0	0.030423423
1260	296.8611643	1260	0	12.76892304	0	0.030591871
1270	305.0550197	1270	0	13.09335554	0	0.030628261
1280	313.7740199	1280	0	13.44729454	0	0.030535196
1290	323.0452545	1290	0	13.83214654	0	0.030317685
1300	332.8966204	1300	0	14.24926209	0	0.029982898
1310	343.3568326	1310	0	14.69993162	0	0.029539834
1320	354.455435	1320	0	15.18538351	0	0.028998935
1330	366.2228119	1330	0	15.70678414	0	0.028371654
1340	378.6901979	1340	0	16.26523975	0	0.027670037
1350	391.8896897	1350	0	16.86179992	0	0.026906318
1360	405.8542564	1360	0	17.4974622	0	0.026092558
1370	420.6177504	1370	0	18.17317764	0	0.025240347
1380	436.2149186	1380	0	18.88985693	0	0.024360563
1390	452.6814131	1390	0	19.64837666	0	0.023463195
1400	470.053802	1400	0	20.44958579	0	0.02255724
1410	488.3695802	1410	0	21.29431175	0	0.021650636
1420	507.6671805	1420	0	22.18336631	0	0.020750256
1430	527.9859846	1430	0	23.11755099	0	0.019861936
1440	549.3663335	1440	0	24.09766187	0	0.018990522
1450	571.8495386	1450	0	25.124494	0	0.018139947
1460	595.4778928	1460	0	26.19884512	0	0.017313315
1470	620.294681	1470	0	27.32151891	0	0.01651299
1480	646.3441913	1480	0	28.49332776	0	0.015740686
1490	673.6717256	1490	0	29.71509505	0	0.014997555
1500	702.3236106	1500	0	30.98765697	0	0.01428428
